GEO.id,GEO.id2,Geography,Estimate; SEX AND AGE - 20 to 24 years,Estimate; SEX AND AGE - 25 to 34 years,Estimate; SEX AND AGE - 35 to 44 years,Estimate; SEX AND AGE - 45 to 54 years,Estimate; SEX AND AGE - 55 to 59 years,Estimate; SEX AND AGE - 60 to 64 years,Estimate; SEX AND AGE - 65 to 74 years,Estimate; SEX AND AGE - 75 to 84 years,Estimate; SEX AND AGE - 85 years and over
0500000US48359,48359,"Oldham County, Texas",122,203,217,200,148,99,195,105,25
0500000US48361,48361,"Orange County, Texas",5343,10401,10361,11490,5863,5111,7239,3914,1433
0500000US48363,48363,"Palo Pinto County, Texas",1598,2978,3205,3830,1916,1928,2963,1712,415
0500000US48365,48365,"Panola County, Texas",1523,2831,2975,2763,1770,1558,2289,1320,423
0500000US48367,48367,"Parker County, Texas",7280,13907,15308,18594,9030,7854,11354,5108,1712
0500000US48369,48369,"Parmer County, Texas",658,1280,1137,1247,641,450,708,377,165
0500000US48371,48371,"Pecos County, Texas",996,2580,2112,2178,964,797,1080,596,283
0500000US48373,48373,"Polk County, Texas",2591,5449,5295,6295,3481,3691,5879,2526,723
0500000US48375,48375,"Potter County, Texas",8666,18737,15454,15055,7584,5739,7801,4354,1937
0500000US48377,48377,"Presidio County, Texas",183,578,1018,819,379,394,828,456,180
0500000US48379,48379,"Rains County, Texas",476,1081,1251,1454,967,762,1579,891,161
0500000US48381,48381,"Randall County, Texas",9386,18822,16060,15747,8547,7347,10017,5247,2012
0500000US48383,48383,"Reagan County, Texas",177,534,484,420,315,211,200,118,62
0500000US48385,48385,"Real County, Texas",151,179,287,289,340,246,508,513,121
0500000US48387,48387,"Red River County, Texas",664,1298,1297,1655,1015,857,1687,796,348
0500000US48389,48389,"Reeves County, Texas",1156,2335,2144,1914,824,540,923,620,315
0500000US48391,48391,"Refugio County, Texas",446,727,797,971,568,371,850,507,183
0500000US48393,48393,"Roberts County, Texas",24,136,101,101,36,89,97,51,8
